,user_id, gpa all,piazza-contribution,perceived-stress-scale-survey-pre,perceived-stress-scale-survey-post,sleep,exercise,social,activity__working_alone,activity__working_others,activity__relaxing_alone,activity__relaxing_others,behavior__anxious,behavior__calm,behavior__conventional,behavior__critical,behavior__dependable,behavior__disorganized,behavior__enthusiastic,behavior__experiences,behavior__reserved,behavior__sympathetic,mood__happy,mood__sad,perceived-stress(mean_replace),perceived-stress(zero_replace)
15,15,2.815,5.0,3.2,2.7,7.315789473684211,4.6,4.4,1.0,2.333333333333333,1.3333333333333333,3.333333333333333,2.0,3.4444444444444446,2.333333333333333,1.4444444444444444,4.0,2.2222222222222223,4.4444444444444455,3.7777777777777777,2.7777777777777777,3.7777777777777777,,1.3157507961967285,3.2,3.2
16,16,3.373,3.0,3.8,4.0,7.907692307692307,1.868421052631579,3.025,2.96,1.92,1.24,2.08,3.75,2.5,3.0,1.5,3.25,1.5,2.25,2.0,4.75,4.0,2.0476190476190474,1.619047619047619,3.8,3.8
17,17,3.4760000000000004,26.0,3.7,3.6,4.9,1.1904761904761905,2.4516129032258065,4.789473684210527,1.1578947368421053,1.5263157894736843,1.0,2.125,4.375,2.625,1.4375,3.1875,2.5625,2.8125,3.4375,3.4375,3.5625,1.1,3.2,3.7,3.7
18,18,3.4739999999999998,6.0,3.5,3.6,5.909090909090909,2.6,1.9545454545454544,1.4615384615384617,1.9230769230769231,1.8461538461538465,1.4615384615384617,2.0769230769230766,3.8461538461538463,3.0,1.8461538461538465,3.0769230769230766,1.0,3.3846153846153846,2.9230769230769234,4.0,3.692307692307693,1.0,2.0,3.5,3.5
19,19,3.947,20.0,2.6,3.7,7.836363636363636,2.772727272727273,3.4871794871794872,3.5526315789473686,2.3684210526315788,1.0,1.8421052631578947,2.0,3.5,2.5,2.0,3.0,2.0,3.5,3.5,2.0,2.5,1.7916666666666667,1.2083333333333333,2.6,2.6
20,20,,2.0,3.0,3.4,6.416666666666668,2.6666666666666665,2.4285714285714284,4.0,1.5,4.0,2.0,2.56,3.44,3.9,2.2666666666666666,2.6266666666666665,3.0933333333333333,2.7333333333333334,2.96,3.64,2.689189189189189,,1.3157507961967285,3.0,3.0
21,21,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
22,22,3.889,14.0,2.6,,8.3,2.2,2.4827586206896552,2.727272727272727,2.363636363636364,1.0,1.818181818181818,1.0,,,2.0,5.0,,4.0,,,,1.0,1.0,2.6,2.6
23,23,,2.0,3.7,3.4,7.7391304347826075,1.2941176470588236,1.125,2.1,1.1,1.2,1.1,3.7692307692307687,3.1818181818181817,3.0909090909090913,2.6153846153846154,3.4166666666666665,2.833333333333333,3.1666666666666665,2.9166666666666665,2.4545454545454546,3.25,1.0,1.0,3.7,3.7
24,24,2.987,4.0,3.0,2.8,7.695652173913044,1.8888888888888888,4.08,1.4285714285714286,1.0,1.7142857142857142,2.7142857142857144,1.0,5.0,5.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,1.5,1.5,3.0,3.0
25,25,2.765,1.0,,,7.4,4.0,3.071428571428572,3.25,1.5,1.5,1.25,5.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,,1.3157507961967285,3.0867149758478263,0.0
26,26,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
27,27,3.719,7.0,3.0,3.3,5.125,1.0,2.125,2.0,1.4285714285714286,1.5714285714285714,1.2857142857142858,3.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0
28,28,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
29,29,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
30,30,3.93,23.0,3.3,3.0,7.117647058823528,1.6666666666666667,3.7647058823529416,2.8,1.8,1.0,2.4,1.6666666666666667,3.5,3.0,2.833333333333333,4.166666666666667,1.5,3.333333333333333,3.8333333333333335,3.6666666666666665,2.833333333333333,3.0,1.0,3.3,3.3
31,31,,15.0,3.222222222,2.3,5.454545454545454,3.0,1.5555555555555556,3.333333333333333,1.3333333333333333,1.3333333333333333,2.0,2.75,3.0,3.0,2.6,4.4,3.6666666666666665,2.8,2.5,3.5,2.5,,1.3157507961967285,3.222222222,3.222222222
32,32,3.826,5.0,2.7,3.2,8.148936170212767,1.36,4.214285714285714,2.05,2.4,1.0,2.65,1.0,4.25,3.25,1.0,1.75,2.75,1.5,1.75,4.5,2.25,2.333333333333333,1.0,2.7,2.7
33,33,2.815,28.0,3.3,3.5,6.853658536585367,1.1470588235294117,3.90625,2.142857142857143,2.071428571428572,2.5,1.7142857142857142,3.0,2.75,2.5,2.75,3.0,2.75,3.5,3.0,3.0,3.0,1.5714285714285714,3.0,3.3,3.3
34,34,,0.0,3.0,3.0,6.857142857142858,1.6666666666666667,3.8,2.0,3.0,4.0,3.0,2.0,3.5,2.5,2.0,3.0,1.5,3.5,3.0,2.5,2.5,,1.3157507961967285,3.0,3.0
35,35,,0.0,3.2,2.8,6.96,1.4,2.3181818181818183,3.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.75,3.625,3.0,1.875,3.625,2.125,3.125,3.125,3.0,2.75,1.0,1.0,3.2,3.2
36,36,,4.0,2.8,2.6,7.5625,2.458333333333333,2.125,2.4285714285714284,2.4285714285714284,1.5,1.5714285714285714,,,,,,,,,,,1.25,1.0,2.8,2.8
37,37,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
38,38,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
39,39,,3.0,,,7.8,1.0,1.0,1.6,1.0,1.4,1.0,3.272727272727273,3.727272727272727,1.3636363636363635,2.363636363636364,3.272727272727273,2.8181818181818183,4.0,4.545454545454546,4.454545454545454,4.363636363636363,,1.3157507961967285,3.0867149758478263,0.0
40,40,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
41,41,3.6519999999999997,27.0,,,7.571428571428571,3.0,3.4285714285714284,3.0,2.25,1.5,1.5,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
42,42,,1.0,3.0,2.5,6.7142857142857135,1.0909090909090908,2.466666666666667,2.0,2.0,2.5,2.5,2.5,3.0,2.0,3.0,2.0,2.5,2.5,2.0,2.0,2.0,2.25,1.0,3.0,3.0
43,43,3.79,27.0,3.5,2.9,7.48,1.0,3.113636363636364,1.9444444444444444,1.7777777777777777,1.1666666666666667,2.1666666666666665,1.8333333333333333,3.8333333333333335,2.833333333333333,1.0,3.5,1.0,3.0,3.1666666666666665,2.833333333333333,3.5,2.0,1.0,3.5,3.5
44,44,,0.0,2.6,2.8,9.06896551724138,1.181818181818182,2.103448275862069,3.435897435897436,1.0769230769230769,1.4871794871794872,1.3333333333333333,3.523809523809524,2.238095238095238,1.8,3.761904761904762,4.285714285714286,1.6666666666666667,3.333333333333333,4.0,3.2857142857142856,3.238095238095238,1.75,1.0,2.6,2.6
45,45,,0.0,2.666666667,2.6,7.727272727272727,1.1428571428571428,2.8666666666666667,3.0,1.0,2.0,1.0,1.5,4.5,2.5,2.5,2.5,2.0,5.0,3.0,2.0,4.5,1.0,1.0,2.666666667,2.666666667
46,46,3.6460000000000004,14.0,3.5,3.8,6.2608695652173925,1.6923076923076923,3.7647058823529416,2.7142857142857144,1.8571428571428568,1.4285714285714286,2.2857142857142856,2.7058823529411766,3.9705882352941178,4.0606060606060606,1.9411764705882355,3.9705882352941178,2.5588235294117645,2.764705882352941,3.117647058823529,3.7058823529411766,3.4411764705882355,2.0,1.0,3.5,3.5
47,47,,1.0,3.0,3.0,6.5555555555555545,1.3333333333333333,3.1764705882352944,4.25,1.75,2.0,1.0,1.5185185185185186,4.481481481481481,2.0370370370370368,1.3703703703703705,4.25925925925926,1.6666666666666667,2.851851851851852,4.037037037037037,3.2962962962962963,2.592592592592593,3.0,1.0,3.0,3.0
48,48,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
49,49,3.625,10.0,3.4,3.0,6.804878048780488,1.52,3.4242424242424243,3.0,2.636363636363636,2.136363636363636,1.7727272727272727,1.9,4.1,3.1,1.5,3.8,2.2,3.2,3.3,2.6,2.7,2.235294117647059,1.1176470588235294,3.4,3.4
50,50,,10.0,2.5,,6.833333333333332,2.0,1.4285714285714286,2.5,3.0,2.5,3.25,1.4285714285714286,4.285714285714286,2.2857142857142856,1.0,4.0,1.0,3.7142857142857135,3.7142857142857135,1.8571428571428568,4.142857142857143,2.0,1.0,2.5,2.5
51,51,,39.0,2.6,3.0,7.0588235294117645,2.142857142857143,1.6969696969696968,1.7857142857142858,1.5,1.5,1.3571428571428572,2.0,3.5,3.0,2.5,3.5,3.5,3.5,3.0,2.5,3.0,1.0,1.125,2.6,2.6
52,52,2.4,0.0,3.6,3.5,7.304347826086956,1.0,2.5384615384615383,1.1428571428571428,1.4285714285714286,1.4285714285714286,2.8571428571428568,,,,,,,,,,,2.0,2.5,3.6,3.6
53,53,,0.0,3.5,3.2,6.612903225806452,1.1904761904761905,2.9032258064516134,2.4285714285714284,2.0,1.4285714285714286,2.142857142857143,2.5,2.6666666666666665,3.6666666666666665,2.5,2.75,2.75,3.5,2.0,2.5,3.0,1.6666666666666667,1.0,3.5,3.5
54,54,3.343,3.0,3.1,3.4,5.583333333333332,3.0,2.727272727272727,2.0,3.0,1.5,1.0,2.333333333333333,3.1666666666666665,3.388888888888889,2.6111111111111107,2.888888888888889,2.555555555555556,2.5,2.6111111111111107,4.0,3.0,,1.3157507961967285,3.1,3.1
55,55,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
56,56,,0.0,2.9,2.9,9.285714285714286,1.3333333333333333,2.5,2.083333333333333,1.6666666666666667,1.5,2.6666666666666665,,,,,,,,,,,2.0,1.0,2.9,2.9
57,57,3.389,17.0,2.9,,7.491803278688525,2.4375,4.4444444444444455,1.7333333333333334,2.4,1.2666666666666666,2.533333333333333,3.5,2.5,3.25,3.5,3.0,2.75,3.0,3.0,3.5,3.0,2.5,1.1666666666666667,2.9,2.9
58,58,,2.0,3.2,,7.258620689655173,2.5,1.9534883720930232,3.35,2.75,3.35,2.75,2.8,3.4,3.0,1.2,3.4,2.6,2.0,2.4,3.8,3.0,2.117647058823529,1.0588235294117647,3.2,3.2
59,59,3.5189999999999997,10.0,3.4,3.1,6.095890410958903,1.1388888888888888,4.2405063291139244,1.8387096774193548,2.5161290322580645,1.903225806451613,2.6451612903225805,1.5,4.0,3.0,2.5,3.0,2.0,2.5,2.5,2.0,4.0,2.1927710843373496,1.2530120481927711,3.4,3.4
